id	question	answer
da1cd9f2-f5b8-4e59-a111-464c4af524df	1	3
da1cd9f2-f5b8-4e59-a111-464c4af524df	2	2
5aae63b2-df86-4711-96e1-28d8b4774d0d	1	1
5aae63b2-df86-4711-96e1-28d8b4774d0d	2	3
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	1	3
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	2	2
bf3851c6-714f-456a-b8bd-d79e53dcec2d	1	3
bf3851c6-714f-456a-b8bd-d79e53dcec2d	2	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	1	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	2	3
592ca275-599c-4c37-afa4-eb087ae7e513	1	3
592ca275-599c-4c37-afa4-eb087ae7e513	2	2
d68aa525-ca85-4281-8ecc-bce7a76525e7	1	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	2	2
5bb12bec-c05b-4083-8d38-4784fdeb981b	1	3
5bb12bec-c05b-4083-8d38-4784fdeb981b	2	2
de672a8f-d10a-43ea-9f26-a87160fe8e11	1	3
de672a8f-d10a-43ea-9f26-a87160fe8e11	2	2
8d26c891-2273-4db6-a123-ebb06e91b864	1	3
8d26c891-2273-4db6-a123-ebb06e91b864	2	2
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	1	3
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	2	2
af0811ac-c3a2-499e-9747-0909fabd27d3	1	3
af0811ac-c3a2-499e-9747-0909fabd27d3	2	2
ecec852a-c88f-4e08-8099-6155407ae3cf	1	3
ecec852a-c88f-4e08-8099-6155407ae3cf	2	2
68175172-e643-4081-8918-396922cbf82b	1	3
68175172-e643-4081-8918-396922cbf82b	2	2
830690d6-1d3b-415f-b407-7f20f8ac02b7	1	3
830690d6-1d3b-415f-b407-7f20f8ac02b7	2	2
e6bf85ac-33b0-4795-be51-f0543728d234	1	1
e6bf85ac-33b0-4795-be51-f0543728d234	2	2
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	1	2
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	2	3
