id	bdm_reward	bdm_charity_loss	bdm_charity_loss_others	bdm_others_bids	bdm_others_prediction	bdm_fun	bdm_ease	bdm_reward_influence	bdm_charity_loss_influence	bdm_winner	bdm_overcome_others	auction_reward	auction_charity_loss	auction_charity_loss_others	auction_others_bids	auction_others_prediction	auction_fun	auction_ease	auction_reward_influence	auction_charity_loss_influence	auction_winner	auction_overcome_others
da1cd9f2-f5b8-4e59-a111-464c4af524df	4	3	1	2	3	4	1	2	1	1	1	3	2	1	2	2	4	1	3	1	1	1
5aae63b2-df86-4711-96e1-28d8b4774d0d	3	2	3	3	1	4	1	2	2	2	1	2	1	2	3	2	2	4	2	1	2	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	5	1	1	4	5	3	3	5	1	1	1	5	1	1	4	5	3	3	5	1	1	1
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	4	4	5	4	4	4	5	4	5	4	5	4	4	4	3	3	3	3	3	2	3	3
592ca275-599c-4c37-afa4-eb087ae7e513	5	1	1	4	1	3	1	4	1	3	1	5	1	2	4	1	3	1	4	1	2	1
d68aa525-ca85-4281-8ecc-bce7a76525e7	5	1	1	3	5	1	3	5	1	5	5	5	1	1	3	5	1	3	5	1	5	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	5	3	1	5	5	1	1	2	2	1	1	5	3	1	5	5	1	1	2	2	1	1
de672a8f-d10a-43ea-9f26-a87160fe8e11	4	3	1	4	4	1	3	4	3	1	1	4	3	1	4	4	1	3	4	3	1	1
8d26c891-2273-4db6-a123-ebb06e91b864	5	1	1	4	1	2	3	5	1	1	1	5	1	1	5	1	2	1	4	1	2	1
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	2	3	1	2	1	4	4	3	3	2	1	2	2	3	3	4	4	4	2	2	1	1
af0811ac-c3a2-499e-9747-0909fabd27d3	5	1	1	1	1	1	1	5	1	3	3	5	1	1	3	1	1	1	5	1	4	4
ecec852a-c88f-4e08-8099-6155407ae3cf	4	5	1	1	1	1	1	4	5	1	2	4	5	5	3	2	1	1	4	4	2	1
68175172-e643-4081-8918-396922cbf82b	1	5	3	2	2	5	3	3	4	1	1	3	4	3	2	2	5	3	3	4	1	2
830690d6-1d3b-415f-b407-7f20f8ac02b7	3	4	1	1	1	5	1	3	4	1	1	4	4	3	5	1	5	1	4	4	1	1
e6bf85ac-33b0-4795-be51-f0543728d234	5	1	1	4	1	1	1	5	1	3	1	5	1	1	1	1	2	2	5	1	1	1
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	3	1	1	3	2	4	4	3	1	1	1	3	1	1	3	3	3	3	4	3	1	1
e02029e5-a438-4890-9af5-464b42cce971	5	5	5	2	3	1	1	3	1	1	1	1	5	5	1	1	1	1	2	1	1	1
49a108b4-7f02-4394-9e4d-fb98d2817f0a	5	5	1	1	1	1	1	4	3	2	1	5	5	1	3	2	1	1	4	2	3	3
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	2	1	1	1	2	2	5	2	1	1	1	2	1	1	2	1	2	5	3	1	1	1
7fab4fd6-e257-4af1-a753-b434d7bc13b2	4	2	2	3	2	1	3	2	2	3	2	5	3	3	3	3	4	3	3	2	4	3
49be27bc-9f90-4bb8-a487-e590faf658a4	5	1	1	4	3	1	1	5	1	2	2	5	1	1	4	3	1	1	5	1	2	2
b43c7502-7446-4e23-88fb-61a21fd37cee	5	5	1	4	1	1	1	1	4	1	1	4	5	1	1	1	1	1	1	4	1	1
6a900c9f-f05e-4274-add0-efb54795f6a8	4	3	2	1	1	4	2	3	4	1	2	4	3	3	4	4	4	2	4	2	3	2
2533feca-b1b1-4868-82a6-1ed3e83c10e1	4	3	2	4	1	4	2	5	3	4	3	4	2	2	4	1	4	2	5	3	4	3
56d4f951-5784-4a09-9279-2faf91bd0471	2	5	4	2	4	2	1	3	4	1	1	2	5	4	2	4	2	1	3	4	1	1
83047a1b-ff96-477a-b426-3c6293d45167	4	1	1	4	4	3	4	3	4	4	4	4	1	1	4	4	3	4	3	4	4	4
1da122c6-3eee-4928-8429-695c69980611	3	5	2	3	3	4	4	2	3	1	1	3	5	2	3	3	4	4	2	3	1	1
3ecf331c-b5dd-405c-86e3-002ec955e370	4	3	2	4	1	2	1	3	3	2	1	4	4	3	5	2	3	2	4	4	3	1
558f1433-0791-4f2a-ae39-b8ed7b220be4	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
ad14534b-9204-43b6-b454-948f2095f858	4	3	1	2	3	3	1	3	1	2	1	3	2	1	4	2	2	1	2	1	2	1
a4ded15a-bf9f-4b4c-ad06-f919264ec546	5	3	5	3	4	3	1	4	3	1	1	5	3	4	5	1	3	1	4	2	2	2
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	4	1	1	5	1	4	3	2	2	1	3	1	1	1	4	1	4	4	2	1	1	1
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	4	3	2	5	5	1	3	3	5	3	3	5	5	1	2	5	1	3	2	4	3	3
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	2	3	3	2	3	2	4	3	4	3	3	3	4	3	3	3	2	4	3	4	3	3
1e131d19-7703-4c1a-a50b-54f91055a198	3	1	1	3	4	5	4	5	1	1	1	5	1	1	3	3	5	5	5	1	1	1
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	3	2	4	5	1	4	3	3	3	1	1	3	2	1	5	4	4	4	2	3	1	1
5cd06121-b886-4998-b994-f9858e91ab25	3	4	1	1	1	3	3	3	1	1	1	4	4	1	3	1	4	3	3	1	1	1
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	3	1	1	4	3	2	1	5	1	1	2	5	1	1	2	1	1	2	4	1	1	1
df850586-902e-4c0d-93ee-161bb3de9d9c	2	4	3	1	2	1	1	1	3	1	1	2	4	3	1	2	1	1	1	3	1	1
468580d7-233c-491b-ac68-da623ba767b7	5	2	1	2	1	1	1	4	1	4	4	4	2	1	5	1	1	1	5	1	4	4
89170ab0-f9cc-469f-860c-a96506565ae7	1	2	1	4	1	5	4	1	1	2	1	1	2	1	4	1	5	4	1	1	1	1
6efa0fba-a600-46b5-aacd-0129dce45149	5	1	1	4	2	3	4	4	1	1	1	5	1	1	4	4	3	4	3	1	2	1
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	2	4	1	2	1	1	1	1	3	1	1	2	4	1	2	1	1	1	1	3	1	1
c5647960-3bfd-4a9a-91a6-3adf918174d8	4	3	1	4	1	2	2	3	4	3	1	4	3	1	4	1	2	2	3	3	3	2
d05ea89a-2169-4607-b690-a16c9207fedd	2	1	1	1	1	3	2	3	1	1	1	2	1	1	4	1	3	2	3	1	1	1
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	5	1	1	5	1	5	3	5	1	5	5	5	1	1	5	1	5	3	5	5	5	5
37436751-10d5-40ff-9ffe-75633fb404fe	3	1	1	2	1	4	4	4	4	2	1	2	1	1	2	1	3	3	4	4	1	1
04b7e20c-d390-4631-9ffb-decdce1c9769	5	3	1	4	1	1	3	5	3	1	1	4	3	1	5	3	1	2	5	3	1	1
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	2	1	1	1	1	1	1	3	1	1	1	2	1	1	3	1	1	1	3	1	1	1
d738ba38-120f-4106-b451-239f7f5b3c21	5	1	1	3	3	1	1	1	1	1	1	5	1	1	3	3	1	1	1	1	1	1
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	4	1	1	4	4	5	3	3	1	2	2	4	1	1	4	4	5	5	5	2	3	3
3f5e3315-b27b-40eb-814b-ee157ac4dac2	5	1	1	4	3	3	5	4	3	4	4	4	2	2	3	4	3	5	4	4	4	3
37407775-058f-4d25-baac-052cf1462b5a	3	3	1	2	1	3	4	3	2	1	1	3	3	1	2	1	3	4	3	2	1	1
