group_number	session	participants	bdm_one	bdm_two	condition
20	25	4	158	82	highinfo
21	25	4	179	210	highinfo
22	26	4	137	117	highinfo
23	26	4	27	261	highcontrol
24	27	4	260	190	highcontrol
25	27	3	299	24	highinfo
26	28	4	104	204	highcontrol
27	28	4	245	289	highinfo
28	29	4	16	78	lowinfo
29	29	4	125	161	highinfo
30	29	4	53	216	lowcontrol
31	29	4	21	203	highcontrol
32	30	4	107	204	highcontrol
33	31	4	148	5	highinfo
34	31	4	207	100	lowinfo
35	32	4	141	11	highcontrol
36	32	4	102	56	highcontrol
37	33	4	111	178	lowinfo
38	33	4	166	185	lowcontrol
39	34	4	82	122	highinfo
40	34	4	153	281	lowinfo
41	35	4	187	18	lowcontrol
42	35	4	128	245	highcontrol
43	35	4	119	200	lowinfo
44	36	4	218	189	lowcontrol
45	36	4	226	256	lowinfo
46	37	4	7	271	highinfo
47	38	4	37	52	highinfo
48	38	4	35	7	lowinfo
49	38	4	178	269	highcontrol
50	39	4	221	56	highinfo
51	39	4	222	61	lowcontrol
52	39	4	83	61	lowinfo
53	39	4	291	46	highinfo
54	39	4	169	283	highinfo
55	40	4	89	85	lowcontrol
56	40	4	262	165	lowinfo
57	40	4	181	299	highinfo
58	40	4	56	146	lowcontrol
59	41	4	186	87	lowcontrol
60	42	4	241	292	highcontrol
61	43	4	8	182	highinfo
62	43	4	160	9	highcontrol
63	43	4	258	119	highinfo
64	44	4	275	172	lowcontrol
65	44	4	4	204	highcontrol
66	44	4	224	149	lowcontrol
67	44	4	95	51	highinfo
68	45	4	192	184	highcontrol
69	45	4	70	165	lowinfo
70	45	4	58	158	lowinfo
71	45	4	240	167	highinfo
72	46	4	221	172	lowcontrol
73	46	4	210	112	highinfo
74	48	4	166	298	highcontrol
75	48	4	104	148	lowinfo
76	48	4	84	235	lowinfo
77	48	4	193	219	lowinfo
78	49	4	193	127	lowcontrol
79	49	4	188	72	highinfo
80	49	4	58	247	highcontrol
81	50	4	138	66	lowcontrol
82	50	4	55	278	highinfo
83	51	4	276	221	lowcontrol
84	51	4	261	197	highinfo
85	52	4	188	273	lowcontrol
86	52	4	174	157	highcontrol
87	53	4	299	216	lowinfo
88	53	4	61	260	highinfo
89	53	4	32	274	lowinfo
90	54	4	124	44	lowinfo
91	54	4	146	22	highinfo
92	54	4	200	16	highcontrol
93	54	4	73	218	highcontrol
94	55	4	296	61	lowcontrol
95	55	4	162	22	highcontrol
96	55	4	162	85	lowcontrol
97	55	4	188	31	lowinfo
98	56	4	298	60	lowcontrol
99	56	4	36	158	lowinfo
100	56	4	262	86	lowinfo
101	56	4	12	50	highcontrol
102	57	4	245	70	lowcontrol
103	57	4	65	176	lowinfo
104	57	4	284	116	lowcontrol
105	57	4	9	284	highcontrol
106	58	4	277	23	lowcontrol
107	58	4	101	218	highinfo
108	58	4	51	145	lowcontrol
109	59	4	154	70	lowcontrol
110	59	4	126	95	lowinfo
111	59	4	186	212	highcontrol
112	60	4	267	161	highcontrol
113	60	4	136	123	highcontrol
114	60	4	102	77	highcontrol
115	61	4	290	235	lowinfo
116	61	4	219	84	highcontrol
117	61	4	221	78	lowcontrol
118	61	4	159	26	highcontrol
119	61	4	286	55	highcontrol
120	62	4	173	263	highinfo
121	62	4	261	287	highcontrol
