id	choice1	choice2	choice3	choice4	choice5	chosen	win
da1cd9f2-f5b8-4e59-a111-464c4af524df	1sure	2sure	3risky	4risky	5risky	3	100
5aae63b2-df86-4711-96e1-28d8b4774d0d	1sure	2sure	3sure	4sure	5sure	1	42
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	1sure	2sure	3sure	4risky	5risky	3	46
bf3851c6-714f-456a-b8bd-d79e53dcec2d	1sure	2sure	3risky	4risky	5risky	3	0
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	1sure	2risky	3risky	4risky	5risky	5	100
592ca275-599c-4c37-afa4-eb087ae7e513	1sure	2sure	3risky	4risky	5risky	2	44
d68aa525-ca85-4281-8ecc-bce7a76525e7	1sure	2sure	3risky	4risky	5risky	5	100
5bb12bec-c05b-4083-8d38-4784fdeb981b	1risky	2risky	3risky	4risky	5risky	4	100
de672a8f-d10a-43ea-9f26-a87160fe8e11	1sure	2sure	3sure	4risky	5risky	5	100
8d26c891-2273-4db6-a123-ebb06e91b864	1sure	2sure	3sure	4sure	5risky	1	42
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	1sure	2sure	3sure	4risky	5risky	5	100
af0811ac-c3a2-499e-9747-0909fabd27d3	1sure	2sure	3sure	4risky	5risky	1	42
ecec852a-c88f-4e08-8099-6155407ae3cf	1sure	2sure	3risky	4risky	5risky	5	0
68175172-e643-4081-8918-396922cbf82b	1risky	2sure	3risky	4risky	5risky	2	44
830690d6-1d3b-415f-b407-7f20f8ac02b7	1sure	2sure	3sure	4sure	5risky	4	48
e6bf85ac-33b0-4795-be51-f0543728d234	1sure	2sure	3risky	4risky	5risky	4	100
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	1risky	2risky	3risky	4sure	5sure	2	0
e02029e5-a438-4890-9af5-464b42cce971	1sure	2sure	3risky	4risky	5risky	5	100
49a108b4-7f02-4394-9e4d-fb98d2817f0a	1sure	2sure	3sure	4risky	5risky	5	100
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	1sure	2sure	3sure	4sure	5risky	4	48
7fab4fd6-e257-4af1-a753-b434d7bc13b2	1risky	2sure	3sure	4sure	5risky	5	100
49be27bc-9f90-4bb8-a487-e590faf658a4	1sure	2sure	3risky	4risky	5risky	5	0
b43c7502-7446-4e23-88fb-61a21fd37cee	1sure	2sure	3risky	4risky	5risky	5	0
6a900c9f-f05e-4274-add0-efb54795f6a8	1sure	2risky	3risky	4risky	5risky	4	100
2533feca-b1b1-4868-82a6-1ed3e83c10e1	1sure	2sure	3risky	4risky	5sure	1	42
56d4f951-5784-4a09-9279-2faf91bd0471	1sure	2sure	3sure	4sure	5sure	4	48
83047a1b-ff96-477a-b426-3c6293d45167	1sure	2sure	3sure	4sure	5risky	4	48
1da122c6-3eee-4928-8429-695c69980611	1sure	2sure	3sure	4sure	5risky	4	48
3ecf331c-b5dd-405c-86e3-002ec955e370	1sure	2sure	3sure	4risky	5risky	5	0
558f1433-0791-4f2a-ae39-b8ed7b220be4	1sure	2sure	3sure	4sure	5sure	1	42
ad14534b-9204-43b6-b454-948f2095f858	1sure	2sure	3sure	4risky	5risky	2	44
a4ded15a-bf9f-4b4c-ad06-f919264ec546	1risky	2risky	3risky	4risky	5risky	5	100
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	1sure	2sure	3sure	4sure	5risky	1	42
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	1sure	2sure	3sure	4sure	5risky	5	100
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	1sure	2sure	3sure	4risky	5risky	5	100
1e131d19-7703-4c1a-a50b-54f91055a198	1sure	2sure	3sure	4sure	5sure	1	42
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	1sure	2sure	3risky	4risky	5risky	4	0
5cd06121-b886-4998-b994-f9858e91ab25	1sure	2sure	3sure	4sure	5risky	5	100
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	1sure	2sure	3sure	4risky	5risky	1	42
df850586-902e-4c0d-93ee-161bb3de9d9c	1sure	2sure	3risky	4risky	5risky	2	44
468580d7-233c-491b-ac68-da623ba767b7	1sure	2sure	3sure	4risky	5risky	1	42
89170ab0-f9cc-469f-860c-a96506565ae7	1risky	2risky	3risky	4risky	5risky	3	100
6efa0fba-a600-46b5-aacd-0129dce45149	1sure	2sure	3risky	4risky	5risky	3	0
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	1sure	2sure	3sure	4sure	5risky	1	42
c5647960-3bfd-4a9a-91a6-3adf918174d8	1risky	2sure	3risky	4sure	5sure	3	100
d05ea89a-2169-4607-b690-a16c9207fedd	1sure	2sure	3risky	4risky	5risky	4	100
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	1sure	2sure	3sure	4sure	5sure	3	46
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	1sure	2sure	3risky	4risky	5risky	1	42
37436751-10d5-40ff-9ffe-75633fb404fe	1risky	2risky	3risky	4risky	5risky	2	100
04b7e20c-d390-4631-9ffb-decdce1c9769	1sure	2sure	3risky	4risky	5risky	5	100
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	1sure	2sure	3sure	4risky	5risky	1	42
d738ba38-120f-4106-b451-239f7f5b3c21	1sure	2sure	3sure	4risky	5risky	4	0
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	1sure	2sure	3risky	4risky	5risky	3	100
3f5e3315-b27b-40eb-814b-ee157ac4dac2	1sure	2sure	3sure	4sure	5risky	5	0
37407775-058f-4d25-baac-052cf1462b5a	1sure	2sure	3risky	4risky	5risky	2	44
99ef30ab-8999-48fb-af8e-68f7b3511396	1sure	2sure	3risky	4risky	5risky	1	42
7d8e44db-2d49-4b80-8fe5-1902fcf8b4b8	1sure	2sure	3sure	4risky	5risky	4	0
3e642eda-2ed3-4f62-a735-3d6e63070c84	1sure	2sure	3sure	4sure	5risky	4	48
3bf95e66-b844-4a07-9b9b-7bd3fd374790	1sure	2sure	3risky	4risky	5risky	2	44
a0091ca6-f480-4069-aa9f-d66b68cf3d72	1sure	2sure	3risky	4risky	5risky	4	0
5f5a91e8-1248-4fe6-9911-1b36f2abac03	1sure	2sure	3sure	4sure	5sure	2	44
b772a82d-95c6-4bc0-9a30-40741c45115c	1sure	2sure	3risky	4risky	5risky	5	100
746fb2f9-7c85-429d-ae5d-db4aab8ec520	1sure	2sure	3sure	4risky	5risky	1	42
e53b4c62-453d-4911-9868-ee560edda0b0	1sure	2sure	3sure	4sure	5sure	3	46
c8fc6c72-3ad3-4b89-8161-9d650682aa1f	1sure	2sure	3sure	4risky	5risky	4	0
90345430-f0aa-4a7c-998f-30a450724f85	1sure	2sure	3risky	4risky	5risky	1	42
452e4c30-68a6-4f2c-9274-20c74f2d5bbf	1risky	2risky	3risky	4risky	5risky	2	100
328885a1-42bc-4a22-8eee-a4b4c6a8dce8	1sure	2sure	3risky	4risky	5risky	3	100
5f15f6b6-eb40-4f20-a918-12274a191d84	1sure	2sure	3risky	4risky	5risky	4	100
abfcf329-f616-4c25-96fb-69e5e2d0f48c	1sure	2sure	3sure	4sure	5risky	5	0
9acba6e6-6f02-45b7-b037-90f1e13662a8	1sure	2risky	3risky	4sure	5sure	2	0
58bf73de-6595-4fef-89ce-34d770b441ab	1sure	2sure	3sure	4sure	5risky	2	44
c66b69bb-5dca-4464-8f36-506c5ba7a7cc	1sure	2sure	3sure	4sure	5risky	2	44
23332da8-bc72-4f94-bb04-f7e8984587f5	1sure	2sure	3sure	4risky	5risky	3	46
1688fcb7-e9a9-4f1a-be51-0ecf6e5d0b5f	1sure	2sure	3sure	4sure	5sure	4	48
1275c944-b232-4489-85fb-b0c8379bc9af	1sure	2sure	3risky	4risky	5risky	4	100
efc945d6-efd2-4678-af18-5b9c7b5de03f	1sure	2sure	3risky	4risky	5risky	4	0
017a3395-1ef4-4161-b27c-626031e21672	1risky	2risky	3risky	4risky	5sure	2	100
720ea58a-e033-4609-a88c-3d4a54acbb1e	1sure	2sure	3risky	4risky	5risky	5	0
d9733090-59a5-4901-a58d-9b45a8ffbdfa	1sure	2sure	3sure	4sure	5sure	2	44
9b862289-c3dd-4e56-8ed2-c48a85353162	1sure	2risky	3risky	4risky	5risky	2	100
de8213e8-126d-43f4-84ba-5e1365c75f92	1sure	2sure	3sure	4risky	5risky	4	100
eeadc02f-5ae8-4574-9ca4-600e597f7305	1risky	2risky	3risky	4risky	5risky	1	0
fcae8279-e541-4202-8775-5766f259d2f9	1risky	2sure	3sure	4sure	5sure	1	0
e25ae80f-522f-4064-b6b4-db2928837997	1sure	2sure	3risky	4risky	5risky	5	100
33961394-e0c1-438d-9853-8e629e164643	1sure	2sure	3sure	4sure	5risky	4	48
ba3f1f4e-82cb-4330-b306-dcd696a7c11c	1sure	2sure	3sure	4risky	5risky	4	0
765fb0b7-602f-4dc4-9835-5bb42063ef05	1risky	2sure	3risky	4risky	5sure	1	0
e6b58a3d-b076-4751-a129-eb838740960d	1risky	2risky	3risky	4risky	5risky	3	0
2162396e-43a1-4231-88e2-c59d6d269c96	1sure	2sure	3sure	4sure	5risky	1	42
46464364-c001-4ccb-9543-a4e809b0451f	1sure	2sure	3sure	4sure	5risky	1	42
a1eb0d87-ac5b-4cb7-b46f-fafc2e4e44cb	1sure	2sure	3risky	4risky	5risky	3	0
28569618-0718-43b5-bfe5-c7aa8516bfe3	1sure	2sure	3sure	4risky	5risky	2	44
b9336393-ad95-418d-b753-0a5bb35cf964	1sure	2sure	3sure	4risky	5risky	1	42
a5bdf693-8a7b-4250-ab58-12d4c28b9670	1sure	2sure	3sure	4risky	5risky	4	100
5be468f7-a961-4122-af7a-a27659e9029f	1sure	2sure	3sure	4sure	5sure	1	42
ceda4815-c7ac-46b9-8de7-e02c96b70268	1sure	2sure	3risky	4risky	5risky	1	42
f682eb24-f2fc-42c1-b2b0-b98de23105a9	1sure	2sure	3sure	4sure	5risky	2	44
447ae28a-2490-4c0b-83f2-93fcc868fdf8	1sure	2sure	3risky	4risky	5risky	2	44
04a9c6af-c763-4fb2-9930-620c314ff12b	1sure	2sure	3risky	4risky	5risky	5	100
4a4e5311-b58e-47c0-8689-3593b6ff50b8	1sure	2sure	3sure	4sure	5risky	2	44
74e96c26-d771-4351-9d66-0f2c95988d16	1sure	2sure	3sure	4risky	5risky	1	42
9a491cec-1eca-4dc0-a60b-622851ffc78e	1sure	2sure	3sure	4risky	5risky	3	46
fbccbd55-8732-45c0-a082-6dfb91c3c3d8	1sure	2sure	3sure	4sure	5risky	1	42
463a4c76-a336-4e95-b5bf-4fe4763417bd	1sure	2sure	3sure	4sure	5risky	5	100
d95c55e4-78bf-4e46-aca9-42022edaafde	1sure	2sure	3risky	4risky	5risky	4	0
4e0cbe98-d9fd-4925-823c-736ea8727b2b	1sure	2sure	3risky	4risky	5risky	3	100
6c6ac2ab-007b-4b38-9397-68ff2f4033e5	1sure	2sure	3risky	4risky	5risky	2	44
01086881-1cf7-418a-a701-d22bd5dee7fd	1sure	2sure	3sure	4risky	5risky	3	46
13b3d984-3490-4c7c-9a3d-d591a073d185	1sure	2sure	3risky	4risky	5risky	5	100
617cdf44-b19b-40a1-a1af-c5e53b43725b	1sure	2sure	3sure	4sure	5risky	3	46
64579add-a6a5-409c-b0ec-64b72f59e8bd	1sure	2sure	3sure	4sure	5risky	5	100
afa12c4e-eee6-4297-ad5a-404c7523c9a6	1sure	2sure	3sure	4sure	5risky	4	48
b350049a-33c4-499a-b851-f39725b0605a	1sure	2sure	3sure	4risky	5risky	1	42
5c04e800-cf33-4f88-839d-4a4cfb6f79c2	1sure	2sure	3sure	4risky	5risky	5	100
6c3e6663-04bd-48b8-9e0a-e9251689e68d	1sure	2risky	3risky	4sure	5sure	3	100
