id	item	answer
da1cd9f2-f5b8-4e59-a111-464c4af524df	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
da1cd9f2-f5b8-4e59-a111-464c4af524df	Sdílím své vìci se svými pøáteli.	4
da1cd9f2-f5b8-4e59-a111-464c4af524df	Snažím se pomáhat ostatním.	3
da1cd9f2-f5b8-4e59-a111-464c4af524df	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	1
da1cd9f2-f5b8-4e59-a111-464c4af524df	Soucítím s lidmi v nouzi.	2
da1cd9f2-f5b8-4e59-a111-464c4af524df	Když je nìkdo v nouzi, okamžitì mu pomohu.	1
da1cd9f2-f5b8-4e59-a111-464c4af524df	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	2
da1cd9f2-f5b8-4e59-a111-464c4af524df	Intenzivnì prožívám, co cítí druzí.	1
da1cd9f2-f5b8-4e59-a111-464c4af524df	Ochotnì nabízím své znalosti a dovednosti druhým.	5
da1cd9f2-f5b8-4e59-a111-464c4af524df	Snažím se utìšit ty, kteøí jsou smutní.	4
da1cd9f2-f5b8-4e59-a111-464c4af524df	Ochotnì pùjèuji peníze nebo jiné vìci.	2
da1cd9f2-f5b8-4e59-a111-464c4af524df	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	2
da1cd9f2-f5b8-4e59-a111-464c4af524df	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	1
da1cd9f2-f5b8-4e59-a111-464c4af524df	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
da1cd9f2-f5b8-4e59-a111-464c4af524df	Trávím èas s pøáteli, kteøí se cítí osamìle.	4
da1cd9f2-f5b8-4e59-a111-464c4af524df	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	4
5aae63b2-df86-4711-96e1-28d8b4774d0d	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Sdílím své vìci se svými pøáteli.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Snažím se pomáhat ostatním.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	4
5aae63b2-df86-4711-96e1-28d8b4774d0d	Soucítím s lidmi v nouzi.	3
5aae63b2-df86-4711-96e1-28d8b4774d0d	Když je nìkdo v nouzi, okamžitì mu pomohu.	2
5aae63b2-df86-4711-96e1-28d8b4774d0d	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	4
5aae63b2-df86-4711-96e1-28d8b4774d0d	Intenzivnì prožívám, co cítí druzí.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Ochotnì nabízím své znalosti a dovednosti druhým.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Snažím se utìšit ty, kteøí jsou smutní.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Ochotnì pùjèuji peníze nebo jiné vìci.	4
