session_number	start	participants	status
25	2023-06-08 12:05:48.607420+00:00	4	finished
26	2023-06-09 08:03:21.943913+00:00	7	finished
27	2023-06-09 10:04:11.417968+00:00	4	finished
28	2023-06-09 11:37:50.216237+00:00	7	finished
29	2023-06-12 11:05:17.393960+00:00	13	finished
30	2023-06-13 06:39:41.768217+00:00	4	finished
31	2023-06-13 08:32:44.336659+00:00	10	finished
32	2023-06-13 10:35:40.630831+00:00	9	finished
33	2023-06-13 12:04:52.915001+00:00	9	finished
34	2023-06-13 13:36:11.734103+00:00	7	finished
35	2023-06-14 06:11:55.889099+00:00	12	finished
36	2023-06-14 07:37:48.090503+00:00	10	finished
37	2023-06-14 09:07:15.550363+00:00	5	finished
38	2023-06-14 11:07:48.769070+00:00	11	finished
39	2023-06-15 09:08:52.738939+00:00	12	finished
40	2023-06-15 12:08:16.931978+00:00	15	finished
41	2023-06-19 06:06:30.446040+00:00	6	finished
42	2023-06-19 07:36:33.118243+00:00	4	finished
43	2023-06-19 09:04:47.008664+00:00	12	finished
44	2023-06-19 14:07:53.648653+00:00	12	finished
45	2023-06-20 07:34:05.727687+00:00	16	finished
46	2023-06-20 09:02:37.686369+00:00	9	finished
47	2023-06-22 12:05:53.474770+00:00	0	finished
48	2023-06-22 12:08:50.338408+00:00	10	finished
49	2023-06-23 06:07:05.759712+00:00	12	finished
50	2023-10-11 08:06:36.170830+00:00	3	finished
51	2023-10-11 10:08:37.917157+00:00	2	finished
52	2023-10-12 11:09:16.770340+00:00	5	finished
53	2023-10-13 10:35:00.740221+00:00	8	finished
54	2023-10-25 08:35:38.933002+00:00	5	finished
55	2023-10-26 07:55:03.115870+00:00	6	finished
56	2023-10-27 07:13:06.022384+00:00	7	finished
57	2023-10-27 08:31:59.621221+00:00	8	finished
58	2023-11-01 09:10:26.982946+00:00	4	finished
59	2023-11-01 10:29:27.510510+00:00	4	finished
60	2023-11-08 08:34:54.378487+00:00	5	finished
61	2023-11-08 10:05:12.604677+00:00	10	finished
62	2023-11-10 13:33:37.989988+00:00	5	finished
