id	group_number	block	winner	maxoffer	secondoffer	wins	reward	charity	completed
43	21	4	d68aa525-ca85-4281-8ecc-bce7a76525e7	211	180	12	390	600	4
44	21	5	592ca275-599c-4c37-afa4-eb087ae7e513	211	200	12	390	600	4
45	21	6	d68aa525-ca85-4281-8ecc-bce7a76525e7	220	211	12	390	600	4
46	20	4	5bb12bec-c05b-4083-8d38-4784fdeb981b	159	100	12	390	600	4
47	20	5	e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	300	159	10	275	100	4
48	20	6	e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	161	159	10	275	100	4
49	22	4	de672a8f-d10a-43ea-9f26-a87160fe8e11	300	250	12	390	600	4
50	22	5	830690d6-1d3b-415f-b407-7f20f8ac02b7	300	250	12	390	600	4
51	23	4	8d26c891-2273-4db6-a123-ebb06e91b864	300	287	12	390	600	4
52	22	6	de672a8f-d10a-43ea-9f26-a87160fe8e11	300	250	12	390	600	4
53	23	5	e6bf85ac-33b0-4795-be51-f0543728d234	151	150	12	390	600	4
54	23	6	e6bf85ac-33b0-4795-be51-f0543728d234	201	165	12	390	600	4
55	24	4	7fab4fd6-e257-4af1-a753-b434d7bc13b2	275	250	12	390	600	4
56	25	4	e422837e-197c-4f81-9f6f-7cd6501036de	300	152	-99	-99	-99	3
57	24	5	6a900c9f-f05e-4274-add0-efb54795f6a8	300	250	11	330	300	4
58	24	6	49be27bc-9f90-4bb8-a487-e590faf658a4	260	200	12	390	600	4
59	25	5	49a108b4-7f02-4394-9e4d-fb98d2817f0a	299	0	9	225	0	3
60	25	6	49a108b4-7f02-4394-9e4d-fb98d2817f0a	152	0	9	225	0	3
61	26	4	83047a1b-ff96-477a-b426-3c6293d45167	140	120	12	390	600	4
62	27	4	2533feca-b1b1-4868-82a6-1ed3e83c10e1	250	50	12	390	600	4
63	26	5	83047a1b-ff96-477a-b426-3c6293d45167	150	120	12	390	600	4
64	27	5	2533feca-b1b1-4868-82a6-1ed3e83c10e1	290	50	12	390	600	4
65	26	6	83047a1b-ff96-477a-b426-3c6293d45167	150	140	12	390	600	4
66	27	6	56d4f951-5784-4a09-9279-2faf91bd0471	285	250	12	390	600	4
67	30	4	1e131d19-7703-4c1a-a50b-54f91055a198	300	250	12	390	150	4
68	28	4	b77ef74b-fdb9-4d4b-8536-af850b49e8bd	280	200	11	330	75	4
69	29	4	468580d7-233c-491b-ac68-da623ba767b7	300	120	11	330	300	4
70	30	5	6efa0fba-a600-46b5-aacd-0129dce45149	300	300	12	390	150	4
71	28	5	d05ea89a-2169-4607-b690-a16c9207fedd	299	290	7	140	0	4
72	30	6	5cd06121-b886-4998-b994-f9858e91ab25	300	200	10	275	25	4
73	31	4	bdd762ab-6e69-4d9e-801b-5aff4ffe7767	50	50	9	225	0	4
74	29	5	468580d7-233c-491b-ac68-da623ba767b7	200	120	11	330	300	4
75	28	6	b77ef74b-fdb9-4d4b-8536-af850b49e8bd	290	280	12	390	150	4
76	29	6	e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	160	150	6	105	0	4
77	31	5	e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	55	50	9	225	0	4
78	31	6	a4ded15a-bf9f-4b4c-ad06-f919264ec546	60	51	9	225	0	4
79	32	4	e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	220	50	12	390	600	4
80	32	5	e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	250	100	12	390	600	4
81	32	6	e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	250	100	12	390	600	4
