id	coding
da1cd9f2-f5b8-4e59-a111-464c4af524df	no information
5aae63b2-df86-4711-96e1-28d8b4774d0d	does not want AFTER
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	honest play
bf3851c6-714f-456a-b8bd-d79e53dcec2d	preffered version
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	no information
592ca275-599c-4c37-afa4-eb087ae7e513	amount others will offer
d68aa525-ca85-4281-8ecc-bce7a76525e7	influence over final sum
5bb12bec-c05b-4083-8d38-4784fdeb981b	influence over final sum, influence over final loss of charity
de672a8f-d10a-43ea-9f26-a87160fe8e11	calculation
8d26c891-2273-4db6-a123-ebb06e91b864	calculation, experience with the task
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	does not want AFTER
af0811ac-c3a2-499e-9747-0909fabd27d3	calculation
ecec852a-c88f-4e08-8099-6155407ae3cf	amount others will offer
68175172-e643-4081-8918-396922cbf82b	risk assessment, influence over final loss for charity
830690d6-1d3b-415f-b407-7f20f8ac02b7	wanted to try after version, influence over final charity loss
e6bf85ac-33b0-4795-be51-f0543728d234	infuence over final sum
57a7f3e8-5c2e-45ac-a179-d34bce9b1cc5	amount others will offer
e02029e5-a438-4890-9af5-464b42cce971	random
49a108b4-7f02-4394-9e4d-fb98d2817f0a	calculation, influence over final charity loss, increasing loss for other players, strategy
f380c4e1-4001-4fd7-aa7b-8e38dcd61b84	honest play
7fab4fd6-e257-4af1-a753-b434d7bc13b2	calculation
49be27bc-9f90-4bb8-a487-e590faf658a4	amount others will offer
b43c7502-7446-4e23-88fb-61a21fd37cee	calculation
6a900c9f-f05e-4274-add0-efb54795f6a8	amount others will offer, calculation, does not want AFTER
2533feca-b1b1-4868-82a6-1ed3e83c10e1	influence over final sum, amount others will offer
56d4f951-5784-4a09-9279-2faf91bd0471	refusal to pay, did not want after
83047a1b-ff96-477a-b426-3c6293d45167	calculation
1da122c6-3eee-4928-8429-695c69980611	intuition, strategy
3ecf331c-b5dd-405c-86e3-002ec955e370	calculation
558f1433-0791-4f2a-ae39-b8ed7b220be4	honest play, preffered version
ad14534b-9204-43b6-b454-948f2095f858	does not want AFTER
a4ded15a-bf9f-4b4c-ad06-f919264ec546	preffered version, amount others will offer
e81ba0f8-e68a-44a4-b053-9b54cd8e0ee2	random
b77ef74b-fdb9-4d4b-8536-af850b49e8bd	calculation, influence over final loss for charity
e70e9573-58bb-4ea5-a13f-edcc1ec4b84c	no information
1e131d19-7703-4c1a-a50b-54f91055a198	random
ca1440e7-0d2d-48eb-b270-5e0c84eefc8c	increasing loss of others
5cd06121-b886-4998-b994-f9858e91ab25	amount others will offer, wanted to try AFTER version
bdd762ab-6e69-4d9e-801b-5aff4ffe7767	random
df850586-902e-4c0d-93ee-161bb3de9d9c	calculation, influence over final charity loss
468580d7-233c-491b-ac68-da623ba767b7	want to win, experience with the task
89170ab0-f9cc-469f-860c-a96506565ae7	amount others will offer
6efa0fba-a600-46b5-aacd-0129dce45149	experience with the task, intuition
51ecaff0-a4ad-48a9-a78f-e3d164eb1f78	honest play, influence over final charity loss
c5647960-3bfd-4a9a-91a6-3adf918174d8	risk assessment 
d05ea89a-2169-4607-b690-a16c9207fedd	amount others will offer
cd04c1d8-28e6-4699-b0b5-0da984c4bd93	refusal to pay
e5943ddd-a69d-4fe8-8c3c-8591fc4f423d	amount others will pay, influence over final sum
37436751-10d5-40ff-9ffe-75633fb404fe	random
04b7e20c-d390-4631-9ffb-decdce1c9769	calculation, amount others will pay
fba9d3cf-c16c-4a04-82ae-c5e825e9dfb6	intuition
d738ba38-120f-4106-b451-239f7f5b3c21	risk assessment
6363a5b6-072e-4460-91ca-6f8aebd1f7a0	calculation
3f5e3315-b27b-40eb-814b-ee157ac4dac2	random
37407775-058f-4d25-baac-052cf1462b5a	no information
99ef30ab-8999-48fb-af8e-68f7b3511396	amanout others will pay, strategy
7d8e44db-2d49-4b80-8fe5-1902fcf8b4b8	calculation
3e642eda-2ed3-4f62-a735-3d6e63070c84	influence over final sum, influence over final loss for charity
3bf95e66-b844-4a07-9b9b-7bd3fd374790	amount others will offer, intuition, strategy
a0091ca6-f480-4069-aa9f-d66b68cf3d72	calculation, amount others will offer
5f5a91e8-1248-4fe6-9911-1b36f2abac03	influence over final sum, charity loss I can inflict
b772a82d-95c6-4bc0-9a30-40741c45115c	amount others will offer
746fb2f9-7c85-429d-ae5d-db4aab8ec520	calculation, wanted to try AFTER version
e53b4c62-453d-4911-9868-ee560edda0b0	wanted to win
c8fc6c72-3ad3-4b89-8161-9d650682aa1f	amount other will offer
90345430-f0aa-4a7c-998f-30a450724f85	experience with the task, calculation
452e4c30-68a6-4f2c-9274-20c74f2d5bbf	amount others will offer
328885a1-42bc-4a22-8eee-a4b4c6a8dce8	calculation
5f15f6b6-eb40-4f20-a918-12274a191d84	risk assessment
abfcf329-f616-4c25-96fb-69e5e2d0f48c	amount others will offer
9acba6e6-6f02-45b7-b037-90f1e13662a8	amount others will offer
58bf73de-6595-4fef-89ce-34d770b441ab	calculation
c66b69bb-5dca-4464-8f36-506c5ba7a7cc	refusel to pay
23332da8-bc72-4f94-bb04-f7e8984587f5	honest play
